Date-Time Thu Feb 22 16:47:00 2018:	 Voltage : 12.7 Vac(rms);
Date-Time Thu Feb 22 16:47:03 2018:	 Voltage : 12.7 Vac(rms);
Date-Time Thu Feb 22 16:47:06 2018:	 Voltage : 12.7 Vac(rms);
Date-Time Thu Feb 22 16:47:09 2018:	 Voltage : 12.7 Vac(rms);
Date-Time Thu Feb 22 16:47:12 2018:	 Voltage : 12.6 Vac(rms);
Date-Time Thu Feb 22 16:47:15 2018:	 Voltage : 12.8 Vac(rms);
Date-Time Thu Feb 22 16:47:18 2018:	 Voltage : 12.7 Vac(rms);
Date-Time Thu Feb 22 16:47:21 2018:	 Voltage : 12.6 Vac(rms);
Date-Time Thu Feb 22 16:47:24 2018:	 Voltage : 12.8 Vac(rms);
Date-Time Thu Feb 22 16:47:27 2018:	 Voltage : 12.7 Vac(rms);
Date-Time Thu Feb 22 16:47:30 2018:	 Voltage : 12.7 Vac(rms);
Date-Time Thu Feb 22 16:47:33 2018:	 Voltage : 12.9 Vac(rms);
Date-Time Thu Feb 22 16:49:15 2018:	Voltage: 12.7	Vac(rms);
Date-Time Thu Feb 22 16:49:18 2018:	Voltage: 12.8	Vac(rms);
Date-Time Thu Feb 22 16:49:21 2018:	Voltage: 12.7	Vac(rms);
Date-Time Thu Feb 22 16:49:24 2018:	Voltage: 12.7	Vac(rms);
Date-Time Thu Feb 22 16:49:27 2018:	Voltage: 12.8	Vac(rms);
Date-Time Thu Feb 22 16:49:39 2018:	Voltage: 12.7	Vac(rms);
Date-Time Thu Feb 22 16:49:43 2018:	Voltage: 12.6	Vac(rms);
Date-Time Thu Feb 22 16:49:46 2018:	Voltage: 12.8	Vac(rms);
Date-Time Thu Feb 22 16:49:49 2018:	Voltage: 12.7	Vac(rms);
Date-Time Thu Feb 22 16:49:52 2018:	Voltage: 12.6	Vac(rms);
Date-Time Thu Feb 22 16:49:55 2018:	Voltage: 12.8	Vac(rms);
Date-Time Thu Feb 22 16:49:58 2018:	Voltage: 12.6	Vac(rms);
Date-Time Thu Feb 22 16:50:01 2018:	Voltage: 25.7	Vac(rms);
Date-Time Thu Feb 22 16:50:04 2018:	Voltage: 49.1	Vac(rms);
Date-Time Thu Feb 22 16:50:07 2018:	Voltage: 49.5	Vac(rms);
Date-Time Thu Feb 22 16:50:10 2018:	Voltage: 49.3	Vac(rms);
Date-Time Thu Feb 22 16:50:13 2018:	Voltage: 76.1	Vac(rms);
Date-Time Thu Feb 22 16:50:16 2018:	Voltage: 105.6	Vac(rms);
Date-Time Thu Feb 22 16:50:19 2018:	Voltage: 105.9	Vac(rms);
Date-Time Thu Feb 22 16:50:22 2018:	Voltage: 105.4	Vac(rms);
Date-Time Thu Feb 22 16:50:25 2018:	Voltage: 105.7	Vac(rms);
Date-Time Thu Feb 22 16:50:28 2018:	Voltage: 117.8	Vac(rms);
Date-Time Thu Feb 22 16:50:31 2018:	Voltage: 155.4	Vac(rms);
Date-Time Thu Feb 22 16:50:34 2018:	Voltage: 175.0	Vac(rms);
Date-Time Thu Feb 22 16:50:37 2018:	Voltage: 184.6	Vac(rms);
Date-Time Thu Feb 22 16:50:40 2018:	Voltage: 187.3	Vac(rms);
Date-Time Thu Feb 22 16:50:43 2018:	Voltage: 188.8	Vac(rms);
Date-Time Thu Feb 22 16:50:46 2018:	Voltage: 189.3	Vac(rms);
Date-Time Thu Feb 22 16:50:49 2018:	Voltage: 211.9	Vac(rms);
Date-Time Thu Feb 22 16:50:52 2018:	Voltage: 227.3	Vac(rms);
Date-Time Thu Feb 22 16:50:55 2018:	Voltage: 228.9	Vac(rms);
Date-Time Thu Feb 22 16:50:58 2018:	Voltage: 270.1	Vac(rms);
Date-Time Thu Feb 22 16:51:01 2018:	Voltage: 282.6	Vac(rms);
Date-Time Thu Feb 22 16:51:04 2018:	Voltage: 281.5	Vac(rms);
Date-Time Thu Feb 22 16:51:07 2018:	Voltage: 264.0	Vac(rms);
Date-Time Thu Feb 22 16:51:10 2018:	Voltage: 37.5	Vac(rms);
Date-Time Thu Feb 22 16:51:13 2018:	Voltage: 0.3	Vac(rms);
Date-Time Thu Feb 22 16:51:16 2018:	Voltage: 0.0	Vac(rms);
Date-Time Thu Feb 22 16:51:19 2018:	Voltage: 0.0	Vac(rms);
Date-Time Thu Feb 22 16:51:22 2018:	Voltage: 0.0	Vac(rms);
Date-Time Thu Feb 22 16:51:25 2018:	Voltage: 0.0	Vac(rms);
Date-Time Thu Feb 22 16:51:28 2018:	Voltage: 0.0	Vac(rms);
Date-Time Thu Feb 22 16:51:31 2018:	Voltage: 0.0	Vac(rms);
Date-Time Thu Feb 22 16:51:34 2018:	Voltage: 0.0	Vac(rms);
Date-Time Thu Feb 22 16:51:37 2018:	Voltage: 0.0	Vac(rms);
Date-Time Thu Feb 22 16:51:40 2018:	Voltage: 0.0	Vac(rms);
Date-Time Thu Feb 22 16:51:43 2018:	Voltage: 0.0	Vac(rms);
Date-Time Thu Feb 22 16:51:46 2018:	Voltage: 0.0	Vac(rms);
Date-Time Thu Mar 29 01:56:33 2018:	Voltage: 0.0	Vac(rms);
Date-Time Thu Mar 29 01:56:35 2018:	Voltage: 0.0	Vac(rms);
Date-Time Thu Mar 29 01:56:39 2018:	Voltage: 0.0	Vac(rms);
Date-Time Thu Mar 29 01:56:42 2018:	Voltage: 0.0	Vac(rms);
Date-Time Sat Mar 31 02:01:49 2018:	Voltage: 0.0	Vac(rms);
Date-Time Sat Mar 31 02:01:52 2018:	Voltage: 0.0	Vac(rms);
Date-Time Sat Mar 31 02:01:55 2018:	Voltage: 0.0	Vac(rms);
Date-Time Sat Mar 31 02:02:17 2018:	Voltage: 224.1	Vac(rms);
Date-Time Sat Mar 31 02:02:20 2018:	Voltage: 224.2	Vac(rms);
Date-Time Sat Mar 31 02:02:23 2018:	Voltage: 223.6	Vac(rms);
Date-Time Sat Mar 31 02:02:26 2018:	Voltage: 224.2	Vac(rms);
Date-Time Wed Apr  4 14:43:47 2018:	Voltage: 2.2	Vac(rms);
Date-Time Wed Apr  4 14:43:50 2018:	Voltage: 2.2	Vac(rms);
Date-Time Wed Apr  4 14:43:53 2018:	Voltage: 2.2	Vac(rms);
Date-Time Wed Apr  4 14:43:56 2018:	Voltage: 2.2	Vac(rms);
Date-Time Wed Apr  4 14:43:59 2018:	Voltage: 2.2	Vac(rms);
Date-Time Wed Apr  4 14:44:02 2018:	Voltage: 2.2	Vac(rms);
Date-Time Wed Apr  4 14:44:06 2018:	Voltage: 2.2	Vac(rms);
Date-Time Wed Apr  4 14:44:09 2018:	Voltage: 2.2	Vac(rms);
Date-Time Wed Apr  4 14:44:12 2018:	Voltage: 2.3	Vac(rms);
Date-Time Wed Apr  4 14:44:15 2018:	Voltage: 2.3	Vac(rms);
Date-Time Wed Apr  4 14:44:18 2018:	Voltage: 24.2	Vac(rms);
Date-Time Wed Apr  4 14:44:21 2018:	Voltage: 50.8	Vac(rms);
Date-Time Wed Apr  4 14:44:24 2018:	Voltage: 57.5	Vac(rms);
Date-Time Wed Apr  4 14:44:27 2018:	Voltage: 67.7	Vac(rms);
Date-Time Wed Apr  4 14:44:30 2018:	Voltage: 90.2	Vac(rms);
Date-Time Wed Apr  4 14:44:33 2018:	Voltage: 95.4	Vac(rms);
Date-Time Wed Apr  4 14:44:36 2018:	Voltage: 97.4	Vac(rms);
Date-Time Wed Apr  4 14:44:39 2018:	Voltage: 95.3	Vac(rms);
Date-Time Wed Apr  4 14:44:42 2018:	Voltage: 96.2	Vac(rms);
Date-Time Wed Apr  4 14:44:45 2018:	Voltage: 95.9	Vac(rms);
Date-Time Wed Apr  4 14:44:48 2018:	Voltage: 96.6	Vac(rms);
Date-Time Wed Apr  4 14:44:51 2018:	Voltage: 97.0	Vac(rms);
Date-Time Wed Apr  4 14:44:54 2018:	Voltage: 95.6	Vac(rms);
Date-Time Wed Apr  4 14:44:57 2018:	Voltage: 97.3	Vac(rms);
Date-Time Wed Apr  4 14:45:00 2018:	Voltage: 96.6	Vac(rms);
Date-Time Wed Apr  4 14:45:03 2018:	Voltage: 95.9	Vac(rms);
Date-Time Wed Apr  4 14:45:06 2018:	Voltage: 97.7	Vac(rms);
Date-Time Wed Apr  4 14:45:09 2018:	Voltage: 96.0	Vac(rms);
Date-Time Wed Apr  4 14:45:12 2018:	Voltage: 96.3	Vac(rms);
Date-Time Wed Apr  4 14:45:15 2018:	Voltage: 97.3	Vac(rms);
Date-Time Wed Apr  4 14:45:18 2018:	Voltage: 96.0	Vac(rms);
Date-Time Wed Apr  4 14:45:21 2018:	Voltage: 96.1	Vac(rms);
Date-Time Wed Apr  4 14:45:24 2018:	Voltage: 97.1	Vac(rms);
Date-Time Wed Apr  4 14:45:27 2018:	Voltage: 95.7	Vac(rms);
Date-Time Wed Apr  4 14:45:30 2018:	Voltage: 106.1	Vac(rms);
Date-Time Wed Apr  4 14:45:33 2018:	Voltage: 114.6	Vac(rms);
Date-Time Wed Apr  4 14:45:36 2018:	Voltage: 114.6	Vac(rms);
Date-Time Wed Apr  4 14:45:39 2018:	Voltage: 114.4	Vac(rms);
Date-Time Wed Apr  4 14:45:42 2018:	Voltage: 116.2	Vac(rms);
Date-Time Wed Apr  4 14:45:45 2018:	Voltage: 115.3	Vac(rms);
Date-Time Wed Apr  4 14:45:48 2018:	Voltage: 114.1	Vac(rms);
Date-Time Wed Apr  4 14:45:51 2018:	Voltage: 115.2	Vac(rms);
Date-Time Wed Apr  4 14:45:54 2018:	Voltage: 116.4	Vac(rms);
Date-Time Wed Apr  4 14:45:57 2018:	Voltage: 114.9	Vac(rms);
Date-Time Wed Apr  4 14:46:00 2018:	Voltage: 113.9	Vac(rms);
Date-Time Wed Apr  4 14:46:03 2018:	Voltage: 116.1	Vac(rms);
Date-Time Wed Apr  4 14:46:06 2018:	Voltage: 115.9	Vac(rms);
Date-Time Wed Apr  4 14:46:09 2018:	Voltage: 115.7	Vac(rms);
Date-Time Wed Apr  4 14:46:12 2018:	Voltage: 127.3	Vac(rms);
Date-Time Wed Apr  4 14:46:15 2018:	Voltage: 135.8	Vac(rms);
Date-Time Wed Apr  4 14:46:18 2018:	Voltage: 134.6	Vac(rms);
Date-Time Wed Apr  4 14:46:21 2018:	Voltage: 133.1	Vac(rms);
Date-Time Wed Apr  4 14:46:24 2018:	Voltage: 134.0	Vac(rms);
Date-Time Wed Apr  4 14:46:27 2018:	Voltage: 135.5	Vac(rms);
Date-Time Wed Apr  4 14:46:30 2018:	Voltage: 133.8	Vac(rms);
Date-Time Wed Apr  4 14:46:33 2018:	Voltage: 132.9	Vac(rms);
Date-Time Wed Apr  4 14:46:36 2018:	Voltage: 135.4	Vac(rms);
Date-Time Wed Apr  4 14:46:39 2018:	Voltage: 84.6	Vac(rms);
Date-Time Wed Apr  4 14:46:42 2018:	Voltage: 3.7	Vac(rms);
Date-Time Wed Apr  4 14:46:45 2018:	Voltage: 2.4	Vac(rms);
Date-Time Wed Apr  4 14:46:48 2018:	Voltage: 2.3	Vac(rms);
Date-Time Wed Apr  4 14:46:51 2018:	Voltage: 2.2	Vac(rms);
Date-Time Wed Apr  4 14:46:54 2018:	Voltage: 2.3	Vac(rms);
Date-Time Wed Apr  4 14:46:57 2018:	Voltage: 2.3	Vac(rms);
Date-Time Wed Apr  4 14:47:00 2018:	Voltage: 2.3	Vac(rms);
Date-Time Wed Apr  4 14:47:03 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:06 2018:	Voltage: 2.2	Vac(rms);
Date-Time Wed Apr  4 14:47:09 2018:	Voltage: 2.3	Vac(rms);
Date-Time Wed Apr  4 14:47:12 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:15 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:18 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:21 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:25 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:28 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:31 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:34 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:37 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:40 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:43 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:46 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:49 2018:	Voltage: 2.0	Vac(rms);
Date-Time Wed Apr  4 14:47:52 2018:	Voltage: 2.1	Vac(rms);
Date-Time Wed Apr  4 14:47:55 2018:	Voltage: 0.3	Vac(rms);
Date-Time Wed Apr  4 14:47:58 2018:	Voltage: 1.7	Vac(rms);
Date-Time Wed Apr  4 14:48:01 2018:	Voltage: 40.4	Vac(rms);
Date-Time Wed Apr  4 14:48:04 2018:	Voltage: 56.2	Vac(rms);
Date-Time Wed Apr  4 14:48:07 2018:	Voltage: 56.3	Vac(rms);
Date-Time Wed Apr  4 14:48:10 2018:	Voltage: 56.1	Vac(rms);
Date-Time Wed Apr  4 14:48:13 2018:	Voltage: 56.9	Vac(rms);
Date-Time Wed Apr  4 14:48:16 2018:	Voltage: 56.2	Vac(rms);
Date-Time Wed Apr  4 14:48:19 2018:	Voltage: 56.3	Vac(rms);
Date-Time Wed Apr  4 14:48:22 2018:	Voltage: 56.9	Vac(rms);
Date-Time Wed Apr  4 14:48:25 2018:	Voltage: 56.0	Vac(rms);
Date-Time Wed Apr  4 14:48:28 2018:	Voltage: 56.3	Vac(rms);
Date-Time Wed Apr  4 14:48:31 2018:	Voltage: 56.8	Vac(rms);
Date-Time Wed Apr  4 14:48:34 2018:	Voltage: 56.0	Vac(rms);
Date-Time Wed Apr  4 14:48:37 2018:	Voltage: 56.5	Vac(rms);
Date-Time Wed Apr  4 14:48:40 2018:	Voltage: 56.7	Vac(rms);
Date-Time Wed Apr  4 14:48:43 2018:	Voltage: 55.8	Vac(rms);
Date-Time Wed Apr  4 14:48:46 2018:	Voltage: 56.8	Vac(rms);
Date-Time Wed Apr  4 14:48:49 2018:	Voltage: 56.5	Vac(rms);
Date-Time Wed Apr  4 14:48:52 2018:	Voltage: 56.0	Vac(rms);
Date-Time Wed Apr  4 14:48:55 2018:	Voltage: 56.9	Vac(rms);
Date-Time Wed Apr  4 14:48:58 2018:	Voltage: 56.2	Vac(rms);
Date-Time Wed Apr  4 14:49:01 2018:	Voltage: 56.2	Vac(rms);
Date-Time Wed Apr  4 14:49:04 2018:	Voltage: 56.9	Vac(rms);
Date-Time Wed Apr  4 14:49:07 2018:	Voltage: 56.0	Vac(rms);
Date-Time Wed Apr  4 14:49:10 2018:	Voltage: 56.3	Vac(rms);
Date-Time Wed Apr  4 14:49:13 2018:	Voltage: 56.8	Vac(rms);
Date-Time Wed Apr  4 14:49:16 2018:	Voltage: 55.9	Vac(rms);
Date-Time Wed Apr  4 14:49:19 2018:	Voltage: 56.6	Vac(rms);
